;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
  0;  0;  0;125;  0;  0;  0;  0; 25;  0;  0;  0;  0; 25;  0;  0;  0;  0; 25;  0;0.000
  1;  0;  0;125;  0;  0;  3;  0; 22;  0;  0;  2;  0; 23;  0;  0;  1;  0; 24;  0;171.658
  2;  0;  0;125;  0;  0;  0;  0; 22;  0;  0;  3;  0; 20;  0;  0;  1;  0; 23;  0;283.507
  3;  0;  0;125;  0;  0;  4;  0; 18;  0;  0;  3;  0; 17;  0;  0;  4;  0; 19;  0;605.884
  4;  0;  0;125;  0;  0;  3;  0; 15;  0;  0;  0;  0; 17;  0;  0;  2;  0; 17;  0;748.500
  5;  0;  0;125;  0;  0;  4;  0; 11;  0;  0;  2;  0; 15;  0;  0;  4;  0; 13;  0;1041.596
  6;  0;  0;125;  0;  0;  1;  0; 10;  0;  0;  0;  0; 15;  0;  0;  4;  0;  9;  0;1184.932
  7;  0;  0;125;  0;  0;  2;  0;  8;  0;  0;  2;  0; 13;  0;  0;  1;  0;  8;  0;1328.507
  8;  0; 51; 74;  0;  0;  5;  0;  3; 17;  0;  4;  0;  9; 17;  0;  5;  0;  3; 17;1736.557
  9;  0;  0; 74;276;  0;  2;  0;  1;  0;  0;  1;  0;  8;  0;  0;  0;  0;  3;  0;1623.002
 10;  0;  0; 74;  0;  0;  1;  3;  0;  0;  0;  4;  0;  4;  0;  0;  0;  0;  3;  0;1769.686
 11;  0;  0; 74;  0; 17;  4;  0; 13;  0; 17;  1;  0; 20;  0; 17;  1;  0; 19;  0;1944.212
 12;  0;  0; 74;  0;  0;  4;  0;  9;  0;  0;  1;  0; 19;  0;  0;  1;  0; 18;  0;2119.027
 13;  0;  0; 74;  0;  0;  3;  0;  6;  0;  0;  3;  0; 16;  0;  0;  0;  0; 18;  0;2294.129
 14;  0;  0; 74;  0;  0;  0;  0;  6;  0;  0;  5;  0; 11;  0;  0;  2;  0; 16;  0;2499.566
 15;  0; 51; 23;  0;  0;  3;  0;  3; 17;  0;  3;  0;  8; 17;  0;  1;  0; 15; 17;2699.143
 16;  0;  0; 23;  0;  0;  2;  0;  1;  0;  0;  4;  0;  4;  0;  0;  4;  0; 11;  0;2997.450
 17;  0;  0; 23;  0;  0;  1;  4;  0;  0;  0;  4;  1;  0;  0;  0;  5;  0;  6;  0;3296.236
 18;  0;  0; 23;  0; 17;  1;  0; 16;  0; 17;  0;  0; 17;  0; 17;  4;  0; 19;  0;3442.816
 19;  0;  0; 23;  0;  0;  5;  0; 11;  0;  0;  4;  0; 13;  0;  0;  5;  0; 14;  0;3860.068
 20;  0;  0; 23;  0;  0;  2;  0;  9;  0;  0;  4;  0;  9;  0;  0;  5;  0;  9;  0;4187.847
 21;  0;  0; 23;  0;  0;  2;  0;  7;  0;  0;  0;  0;  9;  0;  0;  0;  0;  9;  0;4245.722
 22;  0; 17;  6;  0;  0;  2;  0;  5; 17;  0;  2;  0;  7;  0;  0;  4;  0;  5;  0;4476.416
 23;276;  0;282;  0;  0;  1;  0;  4;  0;  0;  1;  0;  6;  0;  0;  0;  0;  5;  0;4524.339
 24;  0; 34;248;  0;  0;  4;  0;  0;  0;  0;  2;  0;  4; 17;  0;  0;  0;  5; 17;4688.420
 25;  0;  0;248;  0; 17;  2;  0; 15;  0;  0;  4;  0;  0;  0;  0;  1;  0;  4;  0;4887.521
