;ARMAZEM;;;;LOJA_1;;;;;LOJA_2;;;;;LOJA_3
DIA;entra;sai;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO;                        chega;vende;quebra;stock;PEDIDO;chega;vende;quebra;stock;PEDIDO
  0;  0;  0;125;  0;  0;  0;  0; 25;  0;  0;  0;  0; 25;  0;  0;  0;  0; 25;  0;0.000
  1;  0;  0;125;  0;  0;  0;  0; 25;  0;  0;  2;  0; 23;  0;  0;  0;  0; 25;  0;51.466
  2;  0;  0;125;  0;  0;  0;  0; 25;  0;  0;  4;  0; 19;  0;  0;  0;  0; 25;  0;163.123
  3;  0;  0;125;  0;  0;  5;  0; 20;  0;  0;  3;  0; 16;  0;  0;  3;  0; 22;  0;485.308
  4;  0;  0;125;  0;  0;  0;  0; 20;  0;  0;  3;  0; 13;  0;  0;  2;  0; 20;  0;627.733
  5;  0;  0;125;  0;  0;  2;  0; 18;  0;  0;  5;  0;  8;  0;  0;  0;  0; 20;  0;830.493
  6;  0;  0;125;  0;  0;  1;  0; 17;  0;  0;  3;  0;  5;  0;  0;  1;  0; 19;  0;973.493
  7;  0; 40; 85;  0;  0;  4;  0; 13;  0;  0;  4;  0;  1; 40;  0;  4;  0; 15;  0;1325.929
  8;  0;  0; 85;276;  0;  5;  0;  8;  0;  0;  0;  0;  1;  0;  0;  4;  0; 11;  0;1391.547
  9;  0;  0; 85;  0;  0;  2;  0;  6;  0;  0;  1;  2;  0;  0;  0;  5;  0;  6;  0;1627.549
 10;  0;  0; 85;  0;  0;  2;  0;  4;  0; 40;  3;  0; 37;  0;  0;  2;  0;  4;  0;1831.968
 11;  0; 80;  5;  0;  0;  1;  0;  3; 40;  0;  1;  0; 36;  0;  0;  3;  0;  1; 40;1974.349
 12;  0;  0;  5;  0;  0;  3;  2;  0;  0;  0;  2;  0; 34;  0;  0;  0;  0;  1;  0;2122.469
 13;  0;  0;  5;  0;  0;  0;  0;  0;  0;  0;  1;  0; 33;  0;  0;  1;  2;  0;  0;2180.686
 14;  0;  0;  5;  0; 40;  4;  0; 36;  0;  0;  4;  0; 29;  0; 40;  3;  0; 37;  0;2505.594
 15;  0;  0;  5;  0;  0;  1;  0; 35;  0;  0;  1;  0; 28;  0;  0;  5;  0; 32;  0;2710.838
 16;  0;  0;  5;  0;  0;  4;  0; 31;  0;  0;  0;  0; 28;  0;  0;  1;  0; 31;  0;2856.321
 17;  0;  0;  5;  0;  0;  2;  0; 29;  0;  0;  5;  0; 23;  0;  0;  4;  0; 27;  0;3182.332
 18;  0;  0;  5;  0;  0;  1;  0; 28;  0;  0;  5;  0; 18;  0;  0;  5;  0; 22;  0;3508.871
 19;  0;  0;  5;  0;  0;  4;  0; 24;  0;  0;  2;  0; 16;  0;  0;  3;  0; 19;  0;3775.840
 20;  0;  0;  5;  0;  0;  3;  0; 21;  0;  0;  2;  0; 14;  0;  0;  1;  0; 18;  0;3953.098
 21;  0;  0;  5;  0;  0;  5;  0; 16;  0;  0;  2;  0; 12;  0;  0;  4;  0; 14;  0;4280.883
 22;276;  0;281;  0;  0;  3;  0; 13;  0;  0;  2;  0; 10;  0;  0;  2;  0; 12;  0;4477.888
 23;  0; 40;241;  0;  0;  3;  0; 10;  0;  0;  4;  0;  6; 40;  0;  2;  0; 10;  0;4734.185
 24;  0;  0;241;  0;  0;  0;  0; 10;  0;  0;  4;  0;  2;  0;  0;  1;  0;  9;  0;4873.472
 25;  0;  0;241;  0;  0;  2;  0;  8;  0;  0;  2;  3;  0;  0;  0;  4;  0;  5;  0;5103.143
